alert_id,alert_name,event_id,source,host,user,process,command,severity,description,detection_logic,expected_technique_id,expected_technique_name
1,Suspicious PowerShell Script Block Execution,4104,Windows Security Logs,WIN-WKS-014,jdoe,powershell.exe,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File C:\Users\jdoe\AppData\Local\Temp\invoice.ps1",high,"PowerShell executed from a user temporary directory with execution policy bypass and no profile options.","event_id=4104 AND process=powershell.exe AND command contains '-ExecutionPolicy Bypass' AND command contains '\AppData\Local\Temp\'",T1059.001,PowerShell
2,Excessive Failed Logon Attempts,4625,Windows Security Logs,WIN-DC-001,asmith,lsass.exe,"15 failed interactive logon attempts for user asmith from 10.20.14.55",medium,"Multiple failed logon events were observed against a domain user account from the same source address within a short time window.","event_id=4625 AND failed_logon_count >= 10 WITHIN 10m GROUP BY user, source_ip",T1110.001,Password Guessing
3,Distributed Password Spray Against Domain Accounts,4625,Microsoft Sentinel,WIN-DC-002,multiple,SecurityEvent,"Failed logons for 48 users from 10.30.7.21 using common workstation logon type",high,"A single source generated failed authentication attempts across many user accounts, consistent with password spraying behavior.","event_id=4625 AND distinct_users >= 25 AND failures_per_user <= 3 WITHIN 30m GROUP BY source_ip",T1110.003,Password Spraying
4,New Local Administrator Account Created,4720,Windows Security Logs,WIN-SRV-022,administrator,net.exe,"net user svc-backup P@ssw0rd! /add",high,"A new local user account was created on a server using the command line.","event_id=4720 OR command matches 'net user * /add'",T1136.001,Local Account
5,Scheduled Task Created From Command Line,4698,Sysmon,WIN-WKS-031,jane,cmd.exe,"schtasks.exe /create /tn OneDriveUpdate /sc minute /mo 30 /tr C:\ProgramData\onedriveupdater.exe",high,"A scheduled task was created to run an executable from ProgramData on a recurring interval.","event_id IN (4698,1) AND process=schtasks.exe AND command contains '/create' AND command contains 'ProgramData'",T1053.005,Scheduled Task
6,New Service Installed With Suspicious Binary Path,7045,Windows Security Logs,WIN-SRV-014,system,services.exe,"Service Name: WinUpdateSvc; Binary Path: C:\Users\Public\update.exe",high,"A Windows service was installed with a binary path located in a user-writable directory.","event_id=7045 AND service_binary_path contains 'C:\Users\Public\'",T1543.003,Windows Service
7,Network Discovery Commands Executed,1,Sysmon,WIN-WKS-044,mike,cmd.exe,"cmd.exe /c ipconfig /all && net view /domain && nltest /dclist:corp.local",medium,"A workstation executed multiple network discovery commands in sequence.","event_id=1 AND process=cmd.exe AND command contains_any ('ipconfig /all','net view','nltest /dclist')",T1016,System Network Configuration Discovery
8,User Discovery Via Net Command,1,Sysmon,WIN-WKS-019,sarah,net.exe,"net user /domain",low,"A domain user enumeration command was executed from a workstation.","event_id=1 AND process=net.exe AND command contains 'user /domain'",T1087.002,Domain Account
9,Domain Group Enumeration,1,Microsoft Defender,WIN-WKS-026,bob,net.exe,"net group 'Domain Admins' /domain",medium,"A command was run to enumerate membership of a privileged domain group.","process=net.exe AND command contains 'group' AND command contains '/domain'",T1069.002,Domain Groups
10,Credential Dumping Tool Detected,1116,Microsoft Defender,WIN-WKS-052,admin,mimikatz.exe,"mimikatz.exe privilege::debug sekurlsa::logonpasswords",critical,"Microsoft Defender detected execution of a known credential dumping utility on an endpoint.","event_id=1116 AND threat_name contains 'Mimikatz' OR process=mimikatz.exe",T1003,OS Credential Dumping
11,LSASS Process Access From Non-System Process,10,Sysmon,WIN-SRV-018,svc_backup,rundll32.exe,"rundll32.exe C:\Windows\System32\comsvcs.dll, MiniDump 684 C:\ProgramData\lsass.dmp full",critical,"A non-standard process attempted to access LSASS memory and write a dump file to disk.","event_id=10 AND target_process=lsass.exe AND source_process NOT IN ('lsass.exe','csrss.exe','wininit.exe')",T1003.001,LSASS Memory
12,Encoded PowerShell Command Execution,1,CrowdStrike,WIN-WKS-063,helpdesk,powershell.exe,"powershell.exe -NoP -W Hidden -EncodedCommand SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0ACkA",high,"CrowdStrike observed PowerShell launched with hidden window and encoded command arguments.","process=powershell.exe AND command contains_any ('-EncodedCommand','-enc') AND command contains '-W Hidden'",T1059.001,PowerShell
13,RDP Login From Unusual Source,4624,Microsoft Sentinel,WIN-SRV-007,finance.user,svchost.exe,"Successful RDP logon type 10 from 203.0.113.77 outside normal geography",high,"A successful remote interactive logon occurred from a source not previously seen for this user.","event_id=4624 AND logon_type=10 AND source_ip NOT IN user_baseline_locations",T1021.001,Remote Desktop Protocol
14,WMI Remote Process Execution,4688,Windows Security Logs,WIN-SRV-011,svc_deploy,wmic.exe,"wmic.exe /node:WIN-SRV-025 process call create 'cmd.exe /c whoami > C:\Windows\Temp\out.txt'",high,"WMI was used to create a remote process on another Windows server.","event_id=4688 AND process=wmic.exe AND command contains '/node:' AND command contains 'process call create'",T1047,Windows Management Instrumentation
